Id,Prediction
0,6
1,2
2,7
3,8
4,1
5,4
6,7
7,9
8,8
9,9
10,5
11,9
12,8
13,2
14,6
15,5
16,4
17,8
18,9
19,3
20,1
21,3
22,7
23,0
24,6
25,6
26,6
27,6
28,1
29,9
30,8
31,1
32,3
33,7
34,0
35,9
36,9
37,8
38,1
39,4
40,7
41,1
42,6
43,1
44,8
45,7
46,9
47,5
48,6
49,8
50,0
51,4
52,7
53,3
54,1
55,5
56,6
57,9
58,6
59,2
60,7
61,4
62,9
63,3
64,0
65,4
66,4
67,0
68,1
69,9
70,1
71,3
72,2
73,3
74,7
75,2
76,9
77,3
78,2
79,3
80,8
81,5
82,1
83,6
84,6
85,1
86,7
87,5
88,9
89,8
90,9
91,8
92,7
93,6
94,8
95,0
96,4
97,5
98,2
99,6
100,3
101,6
102,0
103,3
104,2
105,7
106,7
107,8
108,7
109,6
110,3
111,2
112,6
113,8
114,1
115,3
116,6
117,7
118,5
119,4
120,4
121,8
122,6
123,0
124,9
125,4
126,2
127,2
128,4
129,9
130,7
131,6
132,8
133,0
134,3
135,1
136,3
137,1
138,8
139,1
140,6
141,4
142,6
143,0
144,9
145,7
146,9
147,0
148,2
149,8
150,0
151,3
152,3
153,5
154,3
155,3
156,4
157,1
158,2
159,1
160,1
161,5
162,8
163,5
164,5
165,4
166,8
167,9
168,0
169,8
170,0
171,8
172,3
173,0
174,8
175,3
176,4
177,1
178,7
179,3
180,0
181,8
182,9
183,6
184,2
185,7
186,3
187,2
188,2
189,0
190,4
191,8
192,2
193,6
194,6
195,5
196,4
197,0
198,2
199,6
200,4
201,7
202,6
203,1
204,6
205,6
206,0
207,7
208,8
209,1
210,3
211,2
212,2
213,3
214,0
215,5
216,6
217,1
218,6
219,7
220,5
221,6
222,2
223,3
224,4
225,5
226,5
227,2
228,4
229,8
230,6
231,9
232,3
233,1
234,4
235,1
236,6
237,5
238,4
239,2
240,9
241,0
242,2
243,3
244,6
245,8
246,1
247,1
248,5
249,4
250,0
251,8
252,1
253,7
254,0
255,0
256,4
257,5
258,0
259,6
260,6
261,4
262,9
263,6
264,2
265,2
266,8
267,3
268,1
269,0
270,8
271,7
272,7
273,2
274,9
275,1
276,8
277,0
278,5
279,5
280,5
281,5
282,6
283,8
284,2
285,7
286,5
287,7
288,4
289,5
290,8
291,3
292,4
293,4
294,5
295,1
296,4
297,0
298,9
299,3
300,4
301,3
302,5
303,8
304,7
305,7
306,6
307,6
308,2
309,1
310,6
311,4
312,5
313,9
314,5
315,6
316,4
317,9
318,4
319,3
320,3
321,6
322,0
323,9
324,7
325,0
326,7
327,1
328,2
329,7
330,4
331,9
332,5
333,7
334,2
335,9
336,5
337,0
338,0
339,2
340,6
341,7
342,2
343,0
344,8
345,9
346,5
347,8
348,6
349,9
350,2
351,6
352,4
353,1
354,0
355,5
356,8
357,3
358,9
359,0
360,0
361,8
362,2
363,8
364,5
365,6
366,8
367,8
368,6
369,7
370,0
371,3
372,6
373,4
374,0
375,6
376,1
377,8
378,3
379,5
380,8
381,3
382,5
383,2
384,5
385,4
386,5
387,9
388,7
389,2
390,7
391,5
392,4
393,9
394,4
395,8
396,0
397,0
398,7
399,8
400,6
401,2
402,9
403,6
404,5
405,7
406,5
407,6
408,2
409,0
410,0
411,6
412,3
413,2
414,8
415,6
416,4
417,2
418,3
419,9
420,6
421,0
422,6
423,1
424,1
425,4
426,1
427,2
428,7
429,1
430,7
431,0
432,0
433,0
434,3
435,8
436,4
437,2
